"","Form.ID","Billing.Year","Num.Units","Address","Dwelling.Type","Condo.Complex.Name"
"219","1581","2011",81,"2030 BOOKER  DR","Apartment Bldg",NA
"220","1581","2011",76,"1810 BAKERS GROVE  WY","Apartment Bldg",NA
"221","1583","2011",8,"1213 RIDGE RD","Apartment Bldg",NA
"222","9601","2011",51,"519 WADE AV","Apartment Bldg",NA
"223","1603","2011",90,"4808 SIX FORKS RD","Apartment Bldg",NA
"224","1612","2011",484,"4000 MANOR CLUB DR","Apartment Bldg",NA
"225","1678","2011",5,"1640-A-E HEDINGHAM BLVD","Apartment Bldg",NA
"226","1697","2011",168,"2100 RAVENGLASS  PL","Apartment Bldg",NA
"227","1704","2011",6,"3139 WOODPECKER CT","Apartment Bldg",NA
"228","4780","2011",21,"567 E DAVIE ST","Apartment Bldg",NA
"229","4780","2011",25,"536 E DAVIE ST","Apartment Bldg",NA
"230","4780","2011",41,"3900 HARE SNIPE CT","Apartment Bldg",NA
"231","1952","2011",81,"3003 LAKE WOODARD DR","Apartment Bldg",NA
"232","10155","2011",164,"3101 LONG MEADOW CT","Apartment Bldg",NA
"233","1843","2011",73,"4947 FABER DR","Apartment Bldg",NA
"234","1892","2011",212,"9021 SWEETBROOK LN","Apartment Bldg",NA
"235","4780","2011",40,"701 BRIGHT CREEK WY","Apartment Bldg",NA
"236","1967","2011",176,"1001-A FOX HUNT LN","Apartment Bldg",NA
"237","1994","2011",90,"911 N BLOUNT ST","Apartment Bldg",NA
"238","1997","2011",55,"750 BRIGHT CREEK WY","Apartment Bldg",NA
"239","2022","2011",4,"1229 BROOKSIDE DR","Apartment Bldg",NA
"240","2025","2011",4,"4816 HOYLE DR","Apartment Bldg",NA
"241","2030","2011",124,"10840 DURANT RD","Apartment Bldg",NA
"242","2078","2011",10,"410 GLENWOOD AVE","Apartment Bldg",NA
"243","2103","2011",6,"3125 WOODPECKER CT","Apartment Bldg",NA
"244","2103","2011",6,"3105 WOODPECKER CT","Apartment Bldg",NA
"245","2122","2011",240,"705 CENTENNIAL PKWY","Apartment Bldg",NA
"246","2141","2011",320,"10310 FALLS MILL  DR","Apartment Bldg",NA
"247","2148","2011",122,"500-103 BRIDLE RIDGE  LN","Apartment Bldg",NA
"248","535","2011",120,"3010 CRIMSON TREE CT","Apartment Bldg",NA
"249","888","2011",80,"450 S EAST ST","Apartment Bldg",NA
"250","2178","2011",300,"7521 WINDMILL HARBOR  WY","Apartment Bldg",NA
"251","2182","2011",144,"7813 MAYFAIRE CREST  LN","Apartment Bldg",NA
"252","2186","2011",36,"5401 QUAIL CREEK CT","Apartment Bldg",NA
"253","2188","2011",36,"5401 OTTERS RUN CT","Apartment Bldg",NA
"254","2191","2011",64,"5701 TURTLE COVE","Apartment Bldg",NA
"255","2217","2011",212,"3137 AILEEN  DR","Apartment Bldg",NA
"256","2217","2011",90,"3236 SHIRE LN","Apartment Bldg",NA
"257","2230","2011",552,"3100 HIDDEN POND DR","Apartment Bldg",NA
"258","1952","2011",18,"3001 LAKE WOODARD DR","Apartment Bldg",NA
"259","1952","2011",6,"2130 BRENTWOOD RD","Apartment Bldg",NA
"260","2240","2011",5,"121 S BOYLAN AVE","Apartment Bldg",NA
"261","2242","2011",7,"118 S BOYLAN AVE","Apartment Bldg",NA
"262","2242","2011",8,"705 W MORGAN ST","Apartment Bldg",NA
"263","2267","2011",96,"605 CHARLESTON RD","Apartment Bldg",NA
"264","2267","2011",294,"608 CHARLESTON RD","Apartment Bldg",NA
"265","2334","2011",198,"100 LAKE FRONT DR","Apartment Bldg",NA
"266","2334","2011",225,"7301 LYNN COVE DR","Apartment Bldg",NA
"267","2339","2011",200,"2900 CALVARY DR","Apartment Bldg",NA
"268","2369","2011",288,"3120 WALNUT CREEK PKWY","Apartment Bldg",NA
"269","2456","2011",7,"212 N PEARTREE LA","Apartment Bldg",NA
"270","2456","2011",4,"200 N PEARTREE LA","Apartment Bldg",NA
"271","2468","2011",5,"10 MONTGOMERY ST","Apartment Bldg",NA
"272","2468","2011",26,"714 CROWN CT","Apartment Bldg",NA
"273","2513","2011",238,"8801 FARSIDE PL","Apartment Bldg",NA
"274","10687","2011",450,"8400 BRIER CREEK  PKWY","Apartment Bldg",NA
"275","2624","2011",4,"210 PARK  AVE","Apartment Bldg",NA
"276","2624","2011",4,"212 PARK AVE","Apartment Bldg",NA
"277","2656","2011",68,"1408 BROOKSIDE DR","Apartment Bldg",NA
"278","956","2011",288,"5201 TRINITY VILLAGE LN","Apartment Bldg",NA
"279","1843","2011",24,"4901 FABER DR","Apartment Bldg",NA
"280","1390","2011",210,"3300 GROVE CRABTREE  CRES","Apartment Bldg",NA
"281","701","2011",101,"1401 E MILLBROOK RD","Apartment Bldg",NA
"282","2874","2011",48,"2516 TRYON GROVE  DR","Apartment Bldg",NA
"283","2883","2011",12,"2814 O'BERRY ST","Apartment Bldg",NA
"284","2886","2011",30,"127 NEW BERN  PL","Apartment Bldg",NA
"285","7094","2011",17,"3310 POLLOCK PL","Apartment Bldg",NA
"286","2943","2011",67,"319 OAK RUN DR","Apartment Bldg",NA
"287","2945","2011",57,"2613 MCNEILL ST","Apartment Bldg",NA
"288","7453","2011",44,"5012 CAPE BRETON DR","Apartment Bldg",NA
"289","3047","2011",24,"1701-  GORMAN ST","Apartment Bldg",NA
"290","505","2011",205,"1308 STEINBECK DR","Apartment Bldg",NA
"291","3165","2011",9,"2750 BROADWELL DR","Apartment Bldg",NA
"292","3165","2011",8,"2740 BROADWELL DR","Apartment Bldg",NA
"293","3165","2011",8,"602 GENERAL JOSEPH MARTIN CIR","Apartment Bldg",NA
"294","3165","2011",11,"610 SURE & STEADFAST CT","Apartment Bldg",NA
"295","3165","2011",8,"612 GENERAL JOSEPH MARTIN CIR","Apartment Bldg",NA
"296","657","2011",201,"3225 CALUMET  DR","Apartment Bldg",NA
"297","657","2011",144,"3131 CALUMET DR","Apartment Bldg",NA
"298","657","2011",256,"3200 CALUMET DR","Apartment Bldg",NA
"299","657","2011",181,"309 ROSELLE  CT","Apartment Bldg",NA
"300","3240","2011",84,"4201 FOX RD","Apartment Bldg",NA
"301","3240","2011",168,"4200 FOX RD","Apartment Bldg",NA
"302","3256","2011",204,"3115 CALVARY DR","Apartment Bldg",NA
"303","6642","2011",16,"1000 N KING CHARLES RD","Apartment Bldg",NA
"304","723","2011",374,"10300 GROVECHASE  LN","Apartment Bldg",NA
"305","3300","2011",8,"7800-A - H FEATHERSTONE DR","Apartment Bldg",NA
"306","3300","2011",8,"7820-A - H FEATHERSTONE DR","Apartment Bldg",NA
"307","3321","2011",16,"901 MOSES CT","Apartment Bldg",NA
"308","3306","2011",144,"6713 SIX FORKS  RD","Apartment Bldg",NA
"309","3332","2011",14,"701 RYAN CT","Apartment Bldg",NA
"310","450","2011",66,"3010 SPANISH COURT CT","Apartment Bldg",NA
"311","3478","2011",232,"2000 INMAN PARK DR","Apartment Bldg",NA
"312","3476","2011",200,"5601 OLD WAKE FOREST RD","Apartment Bldg",NA
"313","3572","2011",8,"708 ELLINGTON ST","Apartment Bldg",NA
"314","3577","2011",276,"2721 MILLBROOK VILLAGE PL","Apartment Bldg",NA
"315","3622","2011",64,"311 STONEY MOSS DR","Apartment Bldg",NA
"316","3626","2011",36,"3417 MIDDLEBRANCH RD","Apartment Bldg",NA
"317","3778","2011",48,"3920 DOWLING HAVEN PL","Apartment Bldg",NA
"318","1027","2011",120,"2300 WILDER CLIFF ST","Apartment Bldg",NA
"319","3819","2011",8,"2817-A-H WADE AV","Apartment Bldg",NA
"320","3868","2011",15,"1213 HILLSBOROUGH ST","Apartment Bldg",NA
"321","3870","2011",40,"701 -A BUCK JONES RD","Apartment Bldg",NA
"322","3332","2011",53,"736 RYAN CT","Apartment Bldg",NA
"323","3332","2011",6,"710 CHAPPELL DR","Apartment Bldg",NA
"324","3332","2011",8,"708 CHAPPELL DR","Apartment Bldg",NA
"325","3332","2011",8,"712 CHAPPELL DR","Apartment Bldg",NA
"326","3874","2011",14,"700 W HARGETT ST","Apartment Bldg",NA
"327","1331","2011",286,"5436 VIEW CREST WY","Apartment Bldg",NA
"328","3888","2011",296,"1930 CROSSROADS VISTA  DR","Apartment Bldg",NA
"329","3899","2011",240,"2800 GRESHAM GROVE LN","Apartment Bldg",NA
"330","3900","2011",313,"10111 BROKERS TIP LN","Apartment Bldg",NA
"331","4001","2011",4,"4806 WALLINGFORD DR","Apartment Bldg",NA
"332","4033","2011",350,"10210 STROME AVE","Apartment Bldg",NA
"333","3882","2011",219,"1110 LUPINE CT","Apartment Bldg",NA
"334","9600","2011",12,"2608 E MILLBROOK RD","Apartment Bldg",NA
"335","4079","2011",60,"2450 CENTENNIAL RIDGE  WY","Apartment Bldg",NA
"336","2151","2011",232,"3101 COMPATIBLE WY","Apartment Bldg",NA
"337","4627","2011",64,"1315 KENT  RD","Apartment Bldg",NA
"338","4162","2011",88,"4001 WATER OAK  DR","Apartment Bldg",NA
"339","3777","2011",34,"744 MILLS ST","Apartment Bldg",NA
"340","4267","2011",48,"2917 CREECH  RD","Apartment Bldg",NA
"341","4269","2011",144,"9941 BRIER OAK PL","Apartment Bldg",NA
"342","4273","2011",96,"11700 ARNOLD PALMER DR","Apartment Bldg",NA
"343","2463","2011",168,"309 WOLF DEN LN","Apartment Bldg",NA
"344","1817","2011",180,"100 HUNT CLUB LA","Apartment Bldg",NA
"345","4608","2011",120,"4031 NORTHSTONE DR","Apartment Bldg",NA
"346","4731","2011",244,"2951 SPRINGSWEET LN","Apartment Bldg",NA
"347","4754","2011",156,"9400 PRINCE GEORGE  LA","Apartment Bldg",NA
"348","4754","2011",126,"8500 OLDE STATION DR","Apartment Bldg",NA
"349","4754","2011",39,"8800 CARRIAGE LANTERN LA","Apartment Bldg",NA
"350","4801","2011",60,"109 RAMBLEWOOD","Apartment Bldg",NA
"351","4805","2011",90,"209 RAMBLEWOOD DR","Apartment Bldg",NA
"352","4780","2011",100,"116 SAINT MARYS ST","Apartment Bldg",NA
